ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,Column1,,,AAA,,,
2025-10-01T00:00:00.000000000Z,35,58,108482632,1.73,1.73,1.73,1.73,25,TFO FSV0026.H0027_OSCE0000045002092,TFO FSV,,,TFO   4,,,
2025-10-01T00:00:00.000000000Z,35,85,108215155,1,1.045,0.915,0.915,4075,TFO FMZ0025_OMPE0000030002112625,TFO FMZ,,,TFO   5,,,
2025-10-01T00:00:00.000000000Z,35,85,30994622,0.16,0.16,0.16,0.16,250,TFO   6  30994622,TFO   6,,,TFO   6,,,
2025-10-01T00:00:00.000000000Z,35,85,108616903,1.33,1.33,1.33,1.33,2000,TFO FMZ0025_OMPE0000031002112625,TFO FMZ,,,TFO   7,,,
2025-10-01T00:00:00.000000000Z,35,58,108032162,0.21,0.31,0.2,0.2,3100,TFO FMX0025_OMCE0000036002102725,TFO FMX,,,TFO   9,,,
2025-10-01T00:00:00.000000000Z,35,58,108278470,,,,,2000,TFO FMJ0026_OMPE0000027002032726,TFO FMJ,,,TFO  10,,,
2025-10-01T00:00:00.000000000Z,35,58,108772934,,,,,250,TFO FMG0026_OMCE0000060002012726,TFO FMG,,,TFO  11,,,
2025-10-01T00:00:00.000000000Z,35,58,108203747,,,,,2000,TFO FMK0026_OMPE0000027002042426,TFO FMK,,,TFO  12,,,
2025-10-01T00:00:00.000000000Z,35,58,107841169,0.285,0.285,0.28,0.28,2200,TFO FMF0026_OMCE0000050002122425,TFO FMF,,,TFO  13,,,
2025-10-01T00:00:00.000000000Z,35,85,110051698,0.63,0.63,0.63,0.63,50,TFO FMX0025_OMCE0000032502102725,TFO FMX,,,TFO  14,,,
2025-10-01T00:00:00.000000000Z,35,58,108482086,,,,,25,TFO FMF0027_OMCE0000045002122426,TFO FMF,,,TFO  16,,,
2025-10-01T00:00:00.000000000Z,35,58,108774804,0.295,0.295,0.295,0.295,250,TFO FQF0026.H0026_OQCE0000060002122,TFO FQF,,,TFO  17,,,
2025-10-01T00:00:00.000000000Z,35,85,31005480,0.37,0.37,0.37,0.37,250,TFO  65  31005480,TFO  65,,,TFO  18,,,
2025-10-01T00:00:00.000000000Z,35,85,108685165,0.33,0.33,0.33,0.33,50,TFO FMX0025_OMPE0000029002102725,TFO FMX,,,TFO  21,,,
2025-10-01T00:00:00.000000000Z,35,85,108599679,1.725,1.725,1.725,1.725,500,TFO FMX0025_OMPE0000032002102725,TFO FMX,,,TFO  22,,,
2025-10-01T00:00:00.000000000Z,35,58,108025748,0.49,0.5,0.49,0.5,2300,TFO FMZ0025_OMCE0000038002112625,TFO FMZ,,,TFO  24,,,
2025-10-01T00:00:00.000000000Z,35,85,31005664,0.27,0.27,0.27,0.27,1500,TFO  56  31005664,TFO  56,,,TFO  25,,,
2025-10-01T00:00:00.000000000Z,35,58,108087216,1.84,1.84,1.84,1.84,600,TFO FQF0026.H0026_OQCE0000035002122,TFO FQF,,,TFO  33,,,
2025-10-01T00:00:00.000000000Z,35,58,108476840,,,,,300,TFO FMN0026_OMCE0000045002062626,TFO FMN,,,TFO  34,,,
2025-10-01T00:00:00.000000000Z,35,58,108086404,,,,,100,TFO FMJ0026_OMCE0000035002032726,TFO FMJ,,,TFO  35,,,
2025-10-01T00:00:00.000000000Z,35,58,108054066,0.275,0.275,0.255,0.275,3550,TFO FMX0025_OMCE0000035002102725,TFO FMX,,,TFO  38,,,
2025-10-01T00:00:00.000000000Z,35,58,108685463,0.43,0.43,0.43,0.43,200,TFO FMZ0025_OMPE0000029002112625,TFO FMZ,,,TFO  39,,,
2025-10-01T00:00:00.000000000Z,35,85,31005795,0.45,0.45,0.45,0.45,100,TFO  58  31005795,TFO  58,,,TFO  40,,,
