check,contract_code,ts_event,contract_delivery_period,close_of_future
2,TFM,2021-01-04,2021-02,19.555321441843184
2,TFM,2021-01-04,2021-03,18.876915332022104
2,TFM,2021-01-04,2021-04,17.181803143943288
2,TFM,2021-01-04,2021-05,16.443514581629874
2,TFM,2021-01-04,2021-06,16.12231861655879
2,TFM,2021-01-05,2021-02,17.935018592890078
2,TFM,2021-01-05,2021-03,17.45971234126149
2,TFM,2021-01-05,2021-04,16.285281995661606
2,TFM,2021-01-05,2021-05,15.83996977025393
2,TFM,2021-01-05,2021-06,15.596327683615819
1,TFM,2021-01-05,2021-07,15.44
1,TFM,2021-01-05,2021-08,15.5
1,TFM,2021-01-05,2021-09,15.79
2,TFM,2021-01-06,2021-02,17.774578622549527
2,TFM,2021-01-06,2021-03,17.3247813729777
2,TFM,2021-01-06,2021-04,16.193243380855396
1,TFM,2021-01-06,2021-05,15.735
1,TFM,2021-01-06,2021-06,15.475
2,TFM,2021-01-06,2021-07,15.175084206586828
2,TFM,2021-01-06,2021-08,15.349720705064549
1,TFM,2021-01-06,2021-09,15.625
2,TFM,2021-01-07,2021-02,19.499313283929926
2,TFM,2021-01-07,2021-03,18.77294034090909
2,TFM,2021-01-07,2021-04,17.163184152604547
1,TFM,2021-01-07,2021-05,16.49
2,TFM,2021-01-07,2021-06,16.23006995336442
1,TFM,2021-01-07,2021-08,16.375
1,TFM,2021-01-07,2021-09,16.6
1,TFM,2021-01-07,2021-10,17.0
1,TFM,2021-01-07,2021-12,18.1
2,TFM,2021-01-08,2021-02,20.55201533445595
2,TFM,2021-01-08,2021-03,19.653021524263952
2,TFM,2021-01-08,2021-04,17.59766514170944
2,TFM,2021-01-08,2021-05,16.88903642581836
2,TFM,2021-01-08,2021-06,16.60414542400117
1,TFM,2021-01-08,2021-07,16.45
1,TFM,2021-01-08,2021-08,16.545
1,TFM,2021-01-08,2021-09,16.75
2,TFM,2021-01-11,2021-02,22.59014927554386
2,TFM,2021-01-11,2021-03,21.24630822686308
2,TFM,2021-01-11,2021-04,18.36407091132668
1,TFM,2021-01-11,2021-05,17.37
2,TFM,2021-01-11,2021-06,16.91981456680746
2,TFM,2021-01-11,2021-07,16.8997180318624
1,TFM,2021-01-11,2021-10,17.8
2,TFM,2021-01-12,2021-02,25.747512686200686
2,TFM,2021-01-12,2021-03,24.290337707829693
2,TFM,2021-01-12,2021-04,18.790178583885595
2,TFM,2021-01-12,2021-05,17.745
2,TFM,2021-01-12,2021-06,17.395079617834394
1,TFM,2021-01-12,2021-07,17.5
1,TFM,2021-01-12,2021-08,17.55
2,TFM,2021-01-13,2021-02,22.61736538955205
2,TFM,2021-01-13,2021-03,21.268930533751963
2,TFM,2021-01-13,2021-04,17.65
2,TFM,2021-01-13,2021-05,16.689137030047902
2,TFM,2021-01-13,2021-06,16.564714033293036
1,TFM,2021-01-13,2021-07,16.65
2,TFM,2021-01-14,2021-02,21.0212544374276
2,TFM,2021-01-14,2021-03,20.088340970237095
2,TFM,2021-01-14,2021-04,17.146746575342465
1,TFM,2021-01-14,2021-05,16.45
1,TFM,2021-01-14,2021-06,16.37
1,TFM,2021-01-14,2021-07,16.35
2,TFM,2021-01-15,2021-02,20.0
2,TFM,2021-01-15,2021-03,19.20867235403892
2,TFM,2021-01-15,2021-04,16.660293553338448
2,TFM,2021-01-15,2021-05,16.025195537152058
2,TFM,2021-01-15,2021-06,15.77525255038567
1,TFM,2021-01-15,2021-07,15.7
2,TFM,2021-01-18,2021-02,18.991198903657423
2,TFM,2021-01-18,2021-03,18.348514505417686
2,TFM,2021-01-18,2021-04,16.24550535987749
2,TFM,2021-01-18,2021-05,15.840687237026648
2,TFM,2021-01-18,2021-06,15.746336898395722
2,TFM,2021-01-18,2021-07,15.829432432432432
1,TFM,2021-01-18,2021-08,15.865
1,TFM,2021-01-18,2021-09,16.1
2,TFM,2021-01-19,2021-02,20.37117456272443
2,TFM,2021-01-19,2021-03,19.649999999999995
2,TFM,2021-01-19,2021-04,17.25
2,TFM,2021-01-19,2021-05,16.738606183476936
2,TFM,2021-01-19,2021-06,16.45744211593713
2,TFM,2021-01-19,2021-07,16.437565473009084
1,TFM,2021-01-19,2021-09,16.6
2,TFM,2021-01-20,2021-02,19.994858635014836
2,TFM,2021-01-20,2021-03,19.21489997041639
2,TFM,2021-01-20,2021-04,17.104522727272727
2,TFM,2021-01-20,2021-05,16.54081424936387
2,TFM,2021-01-20,2021-06,16.453557984213724
2,TFM,2021-01-20,2021-07,16.361268633779005
2,TFM,2021-01-21,2021-02,19.939999999999998
2,TFM,2021-01-21,2021-03,19.235
2,TFM,2021-01-21,2021-04,17.224272807404144
2,TFM,2021-01-21,2021-05,16.745102805110886
2,TFM,2021-01-21,2021-06,16.549913778237627
2,TFM,2021-01-21,2021-07,16.628936798582398
1,TFM,2021-01-21,2021-08,16.675
2,TFM,2021-01-22,2021-02,21.49565591881062
2,TFM,2021-01-22,2021-03,20.655000000000005
2,TFM,2021-01-22,2021-04,17.67534319445398
2,TFM,2021-01-22,2021-05,16.99510498397613
1,TFM,2021-01-22,2021-06,16.79
1,TFM,2021-01-22,2021-07,16.86
1,TFM,2021-01-22,2021-09,17.2
2,TFM,2021-01-25,2021-02,20.14543968253968
2,TFM,2021-01-25,2021-03,19.420425802662493
2,TFM,2021-01-25,2021-04,17.160968575118382
2,TFM,2021-01-25,2021-05,16.57894982497083
2,TFM,2021-01-25,2021-06,16.404867899603698
1,TFM,2021-01-25,2021-07,16.5
2,TFM,2021-01-26,2021-02,19.77
2,TFM,2021-01-26,2021-03,19.10537438996049
2,TFM,2021-01-26,2021-04,17.071719901719902
2,TFM,2021-01-26,2021-05,16.595217864923747
2,TFM,2021-01-26,2021-06,16.47834689285096
1,TFM,2021-01-26,2021-07,16.45
2,TFM,2021-01-27,2021-02,19.844692538835083
2,TFM,2021-01-27,2021-03,19.430497484628287
2,TFM,2021-01-27,2021-04,17.37005417879001
1,TFM,2021-01-27,2021-05,16.725
2,TFM,2021-01-27,2021-06,16.69462230960265
1,TFM,2021-01-27,2021-07,16.695
1,TFM,2021-01-27,2021-08,16.625
1,TFM,2021-01-27,2021-09,16.885
2,TFM,2021-01-28,2021-02,21.11358538037009
2,TFM,2021-01-28,2021-03,20.63486784310704
2,TFM,2021-01-28,2021-04,17.899022335865233
1,TFM,2021-01-28,2021-05,17.245
2,TFM,2021-01-28,2021-06,16.999893435635123
1,TFM,2021-01-28,2021-07,16.975
2,TFM,2021-01-29,2021-03,19.588911944529837
2,TFM,2021-01-29,2021-04,17.2
2,TFM,2021-01-29,2021-05,16.70057208237986
1,TFM,2021-01-29,2021-06,16.54
1,TFM,2021-01-29,2021-09,17.0
1,TFM,2021-01-29,2021-10,17.62
2,TFM,2021-02-01,2021-03,17.798102037165414
2,TFM,2021-02-01,2021-04,16.532714164546228
2,TFM,2021-02-01,2021-05,16.204811584384792
2,TFM,2021-02-01,2021-06,16.199999999999996
1,TFM,2021-02-01,2021-07,16.15
1,TFM,2021-02-01,2021-10,17.4
2,TFM,2021-02-02,2021-03,18.225
2,TFM,2021-02-02,2021-04,16.914910122458153
2,TFM,2021-02-02,2021-05,16.557343578485185
2,TFM,2021-02-02,2021-06,16.330839248912294
1,TFM,2021-02-02,2021-07,16.39
1,TFM,2021-02-02,2021-08,16.48
1,TFM,2021-02-02,2021-09,16.73
2,TFM,2021-02-03,2021-03,17.595117482842852
2,TFM,2021-02-03,2021-04,16.680436469447137
2,TFM,2021-02-03,2021-05,16.349912587412586
2,TFM,2021-02-03,2021-06,16.235
2,TFM,2021-02-04,2021-03,17.99003342010835
2,TFM,2021-02-04,2021-04,16.95228293096146
2,TFM,2021-02-04,2021-05,16.560495049504947
2,TFM,2021-02-04,2021-06,16.485243386243386
1,TFM,2021-02-04,2021-08,16.65
2,TFM,2021-02-05,2021-03,18.38753233241565
2,TFM,2021-02-05,2021-04,17.25
2,TFM,2021-02-05,2021-05,17.035
1,TFM,2021-02-05,2021-06,16.96
1,TFM,2021-02-05,2021-07,16.865
1,TFM,2021-02-05,2021-08,17.1
2,TFM,2021-02-08,2021-03,19.775
2,TFM,2021-02-08,2021-04,18.174134448932488
2,TFM,2021-02-08,2021-05,17.63951645399597
2,TFM,2021-02-08,2021-06,17.614527914614122
2,TFM,2021-02-09,2021-03,19.241915085817524
2,TFM,2021-02-09,2021-04,17.939502840909093
2,TFM,2021-02-09,2021-05,17.59735087244691
2,TFM,2021-02-09,2021-06,17.45967438494935
1,TFM,2021-02-09,2021-07,17.35
1,TFM,2021-02-09,2021-09,17.55
1,TFM,2021-02-09,2021-10,17.95
2,TFM,2021-02-10,2021-03,18.277927597631848
2,TFM,2021-02-10,2021-04,17.255457214995335
2,TFM,2021-02-10,2021-05,17.05049674356993
2,TFM,2021-02-10,2021-06,17.065287441037736
1,TFM,2021-02-10,2021-07,17.235
1,TFM,2021-02-10,2021-08,17.22
1,TFM,2021-02-10,2021-11,18.655
1,TFM,2021-02-10,2021-12,19.05
2,TFM,2021-02-11,2021-03,17.60624773851164
2,TFM,2021-02-11,2021-04,16.9
2,TFM,2021-02-11,2021-05,16.645042715128923
2,TFM,2021-02-11,2021-06,16.67978448275862
2,TFM,2021-02-11,2021-07,16.599981074943223
1,TFM,2021-02-11,2021-08,17.075
1,TFM,2021-02-11,2021-09,16.85
2,TFM,2021-02-11,2021-10,17.202881844380403
1,TFM,2021-02-11,2021-11,18.2
2,TFM,2021-02-11,2021-12,18.55
2,TFM,2021-02-12,2021-03,17.791226549224955
2,TFM,2021-02-12,2021-04,17.040423473774723
2,TFM,2021-02-12,2021-05,16.816977986192523
1,TFM,2021-02-12,2021-06,16.815
1,TFM,2021-02-12,2021-09,16.72
2,TFM,2021-02-12,2021-10,17.15165406427221
1,TFM,2021-02-12,2021-12,18.425
2,TFM,2021-02-15,2021-03,16.322039484158573
2,TFM,2021-02-15,2021-04,16.100767869662473
2,TFM,2021-02-15,2021-05,15.995289886192827
2,TFM,2021-02-15,2021-06,16.05054120363689
1,TFM,2021-02-15,2021-08,16.4
1,TFM,2021-02-15,2021-09,16.55
1,TFM,2021-02-15,2021-10,16.9
2,TFM,2021-02-16,2021-03,16.85106846618867
2,TFM,2021-02-16,2021-04,16.459833159541187
2,TFM,2021-02-16,2021-05,16.292433192686357
2,TFM,2021-02-16,2021-06,16.28173650282031
2,TFM,2021-02-16,2021-07,16.26
1,TFM,2021-02-16,2021-09,16.41
1,TFM,2021-02-16,2021-11,17.95
1,TFM,2021-02-16,2021-12,18.3
2,TFM,2021-02-17,2021-03,16.45
2,TFM,2021-02-17,2021-04,16.13904701397713
2,TFM,2021-02-17,2021-05,16.054849663037842
2,TFM,2021-02-17,2021-06,16.149617834394903
1,TFM,2021-02-17,2021-07,16.3
1,TFM,2021-02-17,2021-09,16.34
1,TFM,2021-02-17,2021-10,16.8
1,TFM,2021-02-17,2021-12,18.1
2,TFM,2021-02-18,2021-03,17.342105898726924
2,TFM,2021-02-18,2021-04,17.027967387794643
2,TFM,2021-02-18,2021-05,16.826567164179107
2,TFM,2021-02-18,2021-06,16.833526785714287
1,TFM,2021-02-18,2021-07,16.885
2,TFM,2021-02-18,2021-08,16.953130193905814
1,TFM,2021-02-18,2021-09,17.145
1,TFM,2021-02-18,2021-10,17.595
1,TFM,2021-02-18,2021-11,18.0
1,TFM,2021-02-18,2021-12,18.845
2,TFM,2021-02-19,2021-03,16.43635918340511
2,TFM,2021-02-19,2021-04,16.216072138205096
2,TFM,2021-02-19,2021-05,16.075084676873054
2,TFM,2021-02-19,2021-06,16.105
1,TFM,2021-02-19,2021-08,16.41
1,TFM,2021-02-19,2021-09,16.6
1,TFM,2021-02-19,2021-10,16.75
1,TFM,2021-02-19,2021-12,18.15
2,TFM,2021-02-22,2021-03,15.875
2,TFM,2021-02-22,2021-04,15.787774154274285
2,TFM,2021-02-22,2021-05,15.625
2,TFM,2021-02-22,2021-06,15.754954405562522
1,TFM,2021-02-22,2021-07,15.744999999999997
1,TFM,2021-02-22,2021-08,15.795000000000002
1,TFM,2021-02-22,2021-09,15.975
1,TFM,2021-02-22,2021-10,16.4
2,TFM,2021-02-23,2021-03,16.39231223628692
2,TFM,2021-02-23,2021-04,16.24589634225152
2,TFM,2021-02-23,2021-05,16.081412349710554
2,TFM,2021-02-23,2021-06,16.10311724137931
2,TFM,2021-02-23,2021-07,16.048098287177844
2,TFM,2021-02-23,2021-08,16.076803551609324
2,TFM,2021-02-23,2021-09,16.247784669915816
1,TFM,2021-02-23,2021-10,16.74
1,TFM,2021-02-23,2021-12,17.925
2,TFM,2021-02-24,2021-03,16.30758791668326
2,TFM,2021-02-24,2021-04,16.19087143554038
2,TFM,2021-02-24,2021-05,16.03816929133858
2,TFM,2021-02-24,2021-06,16.1483282674772
2,TFM,2021-02-24,2021-07,15.967583429228998
1,TFM,2021-02-24,2021-08,15.88
1,TFM,2021-02-24,2021-09,16.325
1,TFM,2021-02-24,2021-11,17.595
2,TFM,2021-02-25,2021-03,15.829069701063688
2,TFM,2021-02-25,2021-04,15.679658677468963
2,TFM,2021-02-25,2021-05,15.55952093596059
2,TFM,2021-02-25,2021-06,15.6355078125
1,TFM,2021-02-25,2021-07,15.719999999999999
1,TFM,2021-02-25,2021-08,15.69
2,TFM,2021-02-25,2021-09,15.965000000000002
1,TFM,2021-02-25,2021-10,16.45
2,TFM,2021-02-26,2021-04,15.821652102472179
2,TFM,2021-02-26,2021-05,15.673971179845678
2,TFM,2021-02-26,2021-06,15.695399986809997
1,TFM,2021-02-26,2021-07,15.595000000000002
2,TFM,2021-02-26,2021-08,15.649753957188551
1,TFM,2021-02-26,2021-09,15.85
1,TFM,2021-02-26,2021-10,16.34
2,TFM,2021-03-01,2021-04,16.018627756413377
2,TFM,2021-03-01,2021-05,15.795
2,TFM,2021-03-01,2021-06,15.919052898044693
1,TFM,2021-03-01,2021-07,15.805
1,TFM,2021-03-01,2021-08,15.835
1,TFM,2021-03-01,2021-09,16.2
1,TFM,2021-03-01,2021-10,16.6
1,TFM,2021-03-01,2021-12,18.05
2,TFM,2021-03-02,2021-04,15.80077679613269
2,TFM,2021-03-02,2021-05,15.629637961859357
2,TFM,2021-03-02,2021-06,15.68240206947524
1,TFM,2021-03-02,2021-07,15.625
2,TFM,2021-03-02,2021-08,16.169145175311503
2,TFM,2021-03-02,2021-09,15.950132055169716
1,TFM,2021-03-02,2021-10,16.55
2,TFM,2021-03-03,2021-04,15.576116791191508
2,TFM,2021-03-03,2021-05,15.42910786699108
2,TFM,2021-03-03,2021-06,15.447081424560366
1,TFM,2021-03-03,2021-07,15.4
1,TFM,2021-03-03,2021-08,15.47
1,TFM,2021-03-03,2021-09,15.695
2,TFM,2021-03-03,2021-10,16.325047801147228
1,TFM,2021-03-03,2021-11,17.425
1,TFM,2021-03-03,2021-12,17.95
2,TFM,2021-03-04,2021-04,15.878948577680525
2,TFM,2021-03-04,2021-05,15.72645631067961
2,TFM,2021-03-04,2021-06,15.810064484126984
1,TFM,2021-03-04,2021-07,15.85
1,TFM,2021-03-04,2021-08,15.86
1,TFM,2021-03-04,2021-09,16.0
1,TFM,2021-03-04,2021-10,16.65
1,TFM,2021-03-04,2021-12,18.2
2,TFM,2021-03-05,2021-04,16.398319376406725
2,TFM,2021-03-05,2021-05,16.291120932615936
2,TFM,2021-03-05,2021-06,16.324884163003446
2,TFM,2021-03-05,2021-07,16.324821637047606
1,TFM,2021-03-05,2021-08,16.465
2,TFM,2021-03-05,2021-09,16.69771306601616
1,TFM,2021-03-05,2021-10,17.125
2,TFM,2021-03-08,2021-04,16.299303437286593
2,TFM,2021-03-08,2021-05,16.153886310904873
2,TFM,2021-03-08,2021-06,16.26460377358491
2,TFM,2021-03-08,2021-07,16.274549867608116
2,TFM,2021-03-08,2021-08,16.37454929577465
2,TFM,2021-03-08,2021-09,16.43057526366251
1,TFM,2021-03-08,2021-10,17.23
2,TFM,2021-03-09,2021-04,17.05
2,TFM,2021-03-09,2021-05,16.875159224645206
2,TFM,2021-03-09,2021-06,16.99460687245195
2,TFM,2021-03-09,2021-07,16.906753926701573
2,TFM,2021-03-09,2021-08,16.875097690941384
1,TFM,2021-03-09,2021-09,17.275
1,TFM,2021-03-09,2021-10,17.39
1,TFM,2021-03-09,2021-12,19.2
2,TFM,2021-03-10,2021-04,17.676146985439246
2,TFM,2021-03-10,2021-05,17.4920079958731
2,TFM,2021-03-10,2021-06,17.55467454979388
2,TFM,2021-03-10,2021-07,17.549845327254964
1,TFM,2021-03-10,2021-08,17.625
2,TFM,2021-03-10,2021-09,17.844954389353937
1,TFM,2021-03-10,2021-10,18.22
2,TFM,2021-03-10,2021-12,19.65
1,TFM,2021-03-10,2022-01,19.675
2,TFM,2021-03-11,2021-04,18.103002053822223
2,TFM,2021-03-11,2021-05,17.954717148309705
2,TFM,2021-03-11,2021-06,18.045445791726106
2,TFM,2021-03-11,2021-07,17.999520069808028
2,TFM,2021-03-11,2021-08,18.03956183658356
2,TFM,2021-03-11,2021-09,18.215
2,TFM,2021-03-12,2021-04,18.425
2,TFM,2021-03-12,2021-05,18.251622703023116
2,TFM,2021-03-12,2021-06,18.349999999999998
2,TFM,2021-03-12,2021-07,18.324917181978797
1,TFM,2021-03-12,2021-08,18.4
2,TFM,2021-03-12,2021-09,18.53023447967843
1,TFM,2021-03-12,2021-10,18.725
2,TFM,2021-03-12,2021-12,19.75
2,TFM,2021-03-15,2021-04,17.785
2,TFM,2021-03-15,2021-05,17.67609080011987
2,TFM,2021-03-15,2021-06,17.825
1,TFM,2021-03-15,2021-07,17.905
2,TFM,2021-03-15,2021-08,18.060360082304527
2,TFM,2021-03-15,2021-09,18.15086625086625
1,TFM,2021-03-15,2021-10,18.455
1,TFM,2021-03-15,2021-12,19.755
1,TFM,2021-03-15,2022-01,19.905
2,TFM,2021-03-16,2021-04,17.45795332308874
2,TFM,2021-03-16,2021-05,17.344177907522983
2,TFM,2021-03-16,2021-06,17.47543962485346
2,TFM,2021-03-16,2021-07,17.484128919860627
2,TFM,2021-03-16,2021-08,17.55
2,TFM,2021-03-16,2021-09,17.7949385329873
2,TFM,2021-03-17,2021-04,18.14286166435078
2,TFM,2021-03-17,2021-05,17.957050950186247
2,TFM,2021-03-17,2021-06,18.0
2,TFM,2021-03-17,2021-07,17.867807846398065
2,TFM,2021-03-17,2021-08,17.931242251425736
2,TFM,2021-03-17,2021-09,18.13483331890207
1,TFM,2021-03-17,2021-10,18.55
2,TFM,2021-03-18,2021-04,17.42242487328023
2,TFM,2021-03-18,2021-05,17.295188556566973
2,TFM,2021-03-18,2021-06,17.373811261730967
2,TFM,2021-03-18,2021-07,17.47992708535874
2,TFM,2021-03-18,2021-08,17.419336811984515
2,TFM,2021-03-18,2021-09,17.800820592219857
1,TFM,2021-03-18,2021-10,18.3
1,TFM,2021-03-18,2021-11,19.2
2,TFM,2021-03-18,2021-12,20.031987000928506
1,TFM,2021-03-18,2022-01,20.325
2,TFM,2021-03-19,2021-04,17.434626242095753
2,TFM,2021-03-19,2021-05,17.328441428311166
2,TFM,2021-03-19,2021-06,17.284136690647482
2,TFM,2021-03-19,2021-07,17.249927184466017
2,TFM,2021-03-19,2021-08,17.299969021065674
1,TFM,2021-03-19,2021-09,17.5
1,TFM,2021-03-19,2021-10,17.95
