check,contract_code,ts_event,contract_delivery_period,close_of_future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,04.01.21,2021-02,19.55532144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,04.01.21,2021-03,18.87691533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,04.01.21,2021-04,17.18180314,,Average of close_of_future,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TFM,04.01.21,2021-05,16.44351458,,Row Labels,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,Grand Total
2,TFM,04.01.21,2021-06,16.12231862,,04.01.21,19.55532144,18.87691533,17.18180314,16.44351458,16.12231862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63597462
2,TFM,05.01.21,2021-02,17.93501859,,05.01.21,17.93501859,17.45971234,16.285282,15.83996977,15.59632768,15.44,15.5,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2307888
2,TFM,05.01.21,2021-03,17.45971234,,06.01.21,17.77457862,17.32478137,16.19324338,15.735,15.475,15.17508421,15.34972071,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08155104
2,TFM,05.01.21,2021-04,16.285282,,07.01.21,19.49931328,18.77294034,17.16318415,16.49,16.23006995,,16.375,16.6,17,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3589453
2,TFM,05.01.21,2021-05,15.83996977,,08.01.21,20.55201533,19.65302152,17.59766514,16.88903643,16.60414542,16.45,16.545,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63011048
2,TFM,05.01.21,2021-06,15.59632768,,11.01.21,22.59014928,21.24630823,18.36407091,17.37,16.91981457,16.89971803,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74143729
1,TFM,05.01.21,2021-07,15.44,,12.01.21,25.74751269,24.29033771,18.79017858,17.745,17.39507962,17.5,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8597298
1,TFM,05.01.21,2021-08,15.5,,13.01.21,22.61736539,21.26893053,17.65,16.68913703,16.56471403,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.57335783
1,TFM,05.01.21,2021-09,15.79,,14.01.21,21.02125444,20.08834097,17.14674658,16.45,16.37,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.90439033
2,TFM,06.01.21,2021-02,17.77457862,,15.01.21,20,19.20867235,16.66029355,16.02519554,15.77525255,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.22823567
2,TFM,06.01.21,2021-03,17.32478137,,18.01.21,18.9911989,18.34851451,16.24550536,15.84068724,15.7463369,15.82943243,15.865,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62083442
2,TFM,06.01.21,2021-04,16.19324338,,19.01.21,20.37117456,19.65,17.25,16.73860618,16.45744212,16.43756547,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64354119
1,TFM,06.01.21,2021-05,15.735,,20.01.21,19.99485864,19.21489997,17.10452273,16.54081425,16.45355798,16.36126863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6116537
1,TFM,06.01.21,2021-06,15.475,,21.01.21,19.94,19.235,17.22427281,16.74510281,16.54991378,16.6289368,16.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57117517
2,TFM,06.01.21,2021-07,15.17508421,,22.01.21,21.49565592,20.655,17.67534319,16.99510498,16.79,16.86,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.23872916
2,TFM,06.01.21,2021-08,15.34972071,,25.01.21,20.14543968,19.4204258,17.16096858,16.57894982,16.4048679,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7017753
1,TFM,06.01.21,2021-09,15.625,,26.01.21,19.77,19.10537439,17.0717199,16.59521786,16.47834689,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57844317
2,TFM,07.01.21,2021-02,19.49931328,,27.01.21,19.84469254,19.43049748,17.37005418,16.725,16.69462231,16.695,16.625,16.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53373331
2,TFM,07.01.21,2021-03,18.77294034,,28.01.21,21.11358538,20.63486784,17.89902234,17.245,16.99989344,16.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47789483
2,TFM,07.01.21,2021-04,17.16318415,,29.01.21,,19.58891194,17.2,16.70057208,16.54,,,17,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.44158067
1,TFM,07.01.21,2021-05,16.49,,01.02.21,,17.79810204,16.53271416,16.20481158,16.2,16.15,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7142713
2,TFM,07.01.21,2021-06,16.23006995,,02.02.21,,18.225,16.91491012,16.55734358,16.33083925,16.39,16.48,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80401328
1,TFM,07.01.21,2021-08,16.375,,03.02.21,,17.59511748,16.68043647,16.34991259,16.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.71511663
1,TFM,07.01.21,2021-09,16.6,,04.02.21,,17.99003342,16.95228293,16.56049505,16.48524339,,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92761096
1,TFM,07.01.21,2021-10,17,,05.02.21,,18.38753233,17.25,17.035,16.96,16.865,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.26625539
1,TFM,07.01.21,2021-12,18.1,,08.02.21,,19.775,18.17413445,17.63951645,17.61452791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3007947
2,TFM,08.01.21,2021-02,20.55201533,,09.02.21,,19.24191509,17.93950284,17.59735087,17.45967438,17.35,,17.55,17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8697776
2,TFM,08.01.21,2021-03,19.65302152,,10.02.21,,18.2779276,17.25545721,17.05049674,17.06528744,17.235,17.22,,,18.655,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,17.72614612
2,TFM,08.01.21,2021-04,17.59766514,,11.02.21,,17.60624774,16.9,16.64504272,16.67978448,16.59998107,17.075,16.85,17.20288184,18.2,18.55,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23089379
2,TFM,08.01.21,2021-05,16.88903643,,12.02.21,,17.79122655,17.04042347,16.81697799,16.815,,,16.72,17.15165406,,18.425,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25146887
