check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate
1,TFO,2023-03-20,2023-04,30.0,E,M,2023-03-27,0.18,0,225,0,39.0,2.398
1,TFO,2023-03-20,2023-04,35.0,E,M,2023-03-27,0.625,0,1805,0,39.0,2.398
1,TFO,2023-03-20,2023-04,37.0,E,M,2023-03-27,1.1,0,300,0,39.0,2.398
3,TFO,2023-03-20,2023-04,40.0,E,M,2023-03-27,2.2543956043956044,2.1,2275,50,39.0,2.398
1,TFO,2023-03-20,2023-04,42.0,E,M,2023-03-27,0,1.7,0,550,39.0,2.398
2,TFO,2023-03-20,2023-04,45.0,E,M,2023-03-27,5.75,0.8,100,1150,39.0,2.398
1,TFO,2023-03-20,2023-04,48.0,E,M,2023-03-27,0,0.56,0,550,39.0,2.398
2,TFO,2023-03-20,2023-04,50.0,E,M,2023-03-27,10.4,0.4,975,150,39.0,2.398
1,TFO,2023-03-20,2023-04,60.0,E,M,2023-03-27,19.95,0,350,0,39.0,2.398
1,TFO,2023-03-20,2023-05,27.0,E,M,2023-04-26,0.25,0,300,0,39.49667843573704,2.398
1,TFO,2023-03-20,2023-05,30.0,E,M,2023-04-26,0.7,0,50,0,39.49667843573704,2.398
1,TFO,2023-03-20,2023-05,35.0,E,M,2023-04-26,2.15,0,850,0,39.49667843573704,2.398
1,TFO,2023-03-20,2023-05,40.0,E,M,2023-04-26,4.25,0,100,0,39.49667843573704,2.398
1,TFO,2023-03-20,2023-05,45.0,E,M,2023-04-26,0,4.9799999999999995,0,14,39.49667843573704,2.398
1,TFO,2023-03-20,2023-05,50.0,E,M,2023-04-26,0,2.35,0,150,39.49667843573704,2.398
1,TFO,2023-03-20,2023-06,25.0,E,M,2023-05-26,0.5,0,600,0,40.024138255033556,2.398
1,TFO,2023-03-20,2023-06,35.0,E,M,2023-05-26,3.0,0,900,0,40.024138255033556,2.398
2,TFO,2023-03-20,2023-06,45.0,E,M,2023-05-26,8.65,4.9799999999999995,100,14,40.024138255033556,2.398
1,TFO,2023-03-20,2023-06,65.0,E,M,2023-05-26,0,1.75,0,500,40.024138255033556,2.398
1,TFO,2023-03-20,2023-06,75.0,E,M,2023-05-26,0,1.15,0,650,40.024138255033556,2.398
1,TFO,2023-03-20,2023-07,25.0,E,M,2023-06-26,0.8,0,400,0,40.489645875918455,2.398
1,TFO,2023-03-20,2023-07,35.0,E,M,2023-06-26,3.8,0,560,0,40.489645875918455,2.398
1,TFO,2023-03-20,2023-07,45.0,E,M,2023-06-26,0,4.98,0,114,40.489645875918455,2.398
