'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility,,,ts_event,20.04.26,,,
check,TFO,20.04.26,2026-05,32,E,M,24.04.26,0.03,0,300,0,39.59774235,1.931,P,1.007739888,1.135582839,,,,,,,
check,TFO,20.04.26,2026-05,33,E,M,24.04.26,0.05,0,275,0,39.59774235,1.931,P,0.961053258,1.177223118,,,,Column Labels,,,
check,TFO,20.04.26,2026-05,34,E,M,24.04.26,0.12,0,375,0,39.59774235,1.931,P,0.993323151,1.216312724,,,,Sum of implied_volatility,Sum of ssvi_implied_volatility,Total Sum of implied_volatility,Total Sum of ssvi_implied_volatility
check,TFO,20.04.26,2026-05,35,E,M,24.04.26,0.191470588,0,3400,0,39.59774235,1.931,P,0.952664523,1.253143536,,,Row Labels,2027-01,2027-01,,
check,TFO,20.04.26,2026-05,36,E,M,24.04.26,0.23,0,250,0,39.59774235,1.931,P,0.835462122,1.287959225,,,43,0.636324397,0.798015769,0.636324397,0.798015769
check,TFO,20.04.26,2026-05,37,E,M,24.04.26,0.597368421,0,475,0,39.59774235,1.931,P,0.981320146,1.320965425,,,53,0.684530854,0.822622911,0.684530854,0.822622911
check,TFO,20.04.26,2026-05,38,E,M,24.04.26,0.726086957,0,575,0,39.59774235,1.931,P,0.854442359,1.352337354,,,Grand Total,1.320855251,1.62063868,1.320855251,1.62063868
check,TFO,20.04.26,2026-05,39,E,M,24.04.26,1.397204969,0,805,0,39.59774235,1.931,P,1.026329879,1.382225616,,,,,,,
check,TFO,20.04.26,2026-05,40,E,M,24.04.26,1.815605096,1.89673913,3140,575,39.59774235,1.931,P,0.97013152,1.410760662,,,,,,,
check,TFO,20.04.26,2026-05,42,E,M,24.04.26,0,1.1,0,350,39.59774235,1.931,C,1.223320881,1.464212383,,,,,,,
check,TFO,20.04.26,2026-05,43,E,M,24.04.26,0,1,0,475,39.59774235,1.931,C,1.342406342,1.48931715,,,,,,,
check,TFO,20.04.26,2026-05,44,E,M,24.04.26,4.5,0.79,300,200,39.59774235,1.931,P,0.705789599,1.513448873,,,,,,,
check,TFO,20.04.26,2026-05,45,E,M,24.04.26,0,0.74972028,0,3575,39.59774235,1.931,C,1.478750334,1.536677369,,,,,,,
check,TFO,20.04.26,2026-05,46,E,M,24.04.26,0,0.59,0,100,39.59774235,1.931,C,1.483726492,1.559065184,,,,,,,
check,TFO,20.04.26,2026-05,48,E,M,24.04.26,0,0.4625,0,40,39.59774235,1.931,C,1.608944962,1.601538339,,,,,,,
check,TFO,20.04.26,2026-05,50,E,M,24.04.26,9.7,0.331879955,500,4415,39.59774235,1.931,C,1.674197873,1.641256883,,,,,,,
check,TFO,20.04.26,2026-05,55,E,M,24.04.26,0,0.14,0,100,39.59774235,1.931,C,1.790219366,1.730480267,,,,,,,
check,TFO,20.04.26,2026-05,60,E,M,24.04.26,0,0.12,0,1600,39.59774235,1.931,C,2.09724543,1.808126435,,,,,,,
check,TFO,20.04.26,2026-05,65,E,M,24.04.26,0,0.075,0,500,39.59774235,1.931,C,2.245659733,1.876739155,,,,,,,
check,TFO,20.04.26,2026-05,70,E,M,24.04.26,0,0.06,0,750,39.59774235,1.931,C,2.440917644,1.938113369,,,,,,,
check,TFO,20.04.26,2026-06,30,E,M,27.05.26,0.375,0,300,0,39.586574,1.931,P,0.695613156,0.762739467,,,,,,,
check,TFO,20.04.26,2026-06,31,E,M,27.05.26,0.55,0,20,0,39.586574,1.931,P,0.709795076,0.776037912,,,,,,,
check,TFO,20.04.26,2026-06,32.5,E,M,27.05.26,0.77,0,10,0,39.586574,1.931,P,0.687577593,0.794823004,,,,,,,
check,TFO,20.04.26,2026-06,34,E,M,27.05.26,1.15,0,200,0,39.586574,1.931,P,0.691942695,0.812366611,,,,,,,
check,TFO,20.04.26,2026-06,34.5,E,M,27.05.26,1.345,0,5,0,39.586574,1.931,P,0.705208593,0.81796448,,,,,,,
check,TFO,20.04.26,2026-06,35,E,M,27.05.26,1.599522059,0,1360,0,39.586574,1.931,P,0.729113275,0.823445524,,,,,,,
check,TFO,20.04.26,2026-06,37,E,M,27.05.26,2.88,0,1000,0,39.586574,1.931,P,0.841115629,0.844287592,,,,,,,
check,TFO,20.04.26,2026-06,38,E,M,27.05.26,2.725,0,30,0,39.586574,1.931,P,0.711386228,0.85411335,,,,,,,
check,TFO,20.04.26,2026-06,39,E,M,27.05.26,3.35,0,100,0,39.586574,1.931,P,0.738387486,0.863578707,,,,,,,
check,TFO,20.04.26,2026-06,40,E,M,27.05.26,3.93,4.02,825,2750,39.586574,1.931,C,0.831604819,0.872707657,,,,,,,
check,TFO,20.04.26,2026-06,43,E,M,27.05.26,0,2.67,0,1000,39.586574,1.931,C,0.789570974,0.898283486,,,,,,,
check,TFO,20.04.26,2026-06,45,E,M,27.05.26,0,2.7,0,2375,39.586574,1.931,C,0.919778468,0.914001216,,,,,,,
check,TFO,20.04.26,2026-06,50,E,M,27.05.26,0,1.879605263,0,1900,39.586574,1.931,C,0.991821717,0.949443413,,,,,,,
check,TFO,20.04.26,2026-06,55,E,M,27.05.26,0,1.22,0,1000,39.586574,1.931,C,1.01602592,0.980416922,,,,,,,
check,TFO,20.04.26,2026-06,60,E,M,27.05.26,0,0.952096774,0,620,39.586574,1.931,C,1.090187682,1.00787284,,,,,,,
check,TFO,20.04.26,2026-06,70,E,M,27.05.26,0,0.55,0,800,39.586574,1.931,C,1.177416297,1.054779354,,,,,,,
check,TFO,20.04.26,2026-06,80,E,M,27.05.26,0,0.375,0,300,39.586574,1.931,C,1.270021856,1.093801587,,,,,,,
check,TFO,20.04.26,2026-06,90,E,M,27.05.26,0,0.24,0,500,39.586574,1.931,C,1.321233594,1.127109575,,,,,,,
check,TFO,20.04.26,2026-06,120,E,M,27.05.26,0,0.12,0,1000,39.586574,1.931,C,1.514721436,1.204622616,,,,,,,
check,TFO,20.04.26,2026-07,30,E,M,26.06.26,0.72,0,275,0,39.56209639,1.931,P,0.631802605,0.758257626,,,,,,,
check,TFO,20.04.26,2026-07,35,E,M,26.06.26,2.1,0,625,0,39.56209639,1.931,P,0.634199494,0.801312997,,,,,,,
check,TFO,20.04.26,2026-07,40,E,M,26.06.26,4.9,0,540,0,39.56209639,1.931,P,0.702753067,0.836862062,,,,,,,
check,TFO,20.04.26,2026-07,44,E,M,26.06.26,7.45,0,25,0,39.56209639,1.931,P,0.707959912,0.861356638,,,,,,,
check,TFO,20.04.26,2026-07,45,E,M,26.06.26,0,3.7,0,50,39.56209639,1.931,C,0.833680843,0.867033143,,,,,,,
check,TFO,20.04.26,2026-07,50,E,M,26.06.26,0,2.6,0,125,39.56209639,1.931,C,0.856928948,0.893173545,,,,,,,
check,TFO,20.04.26,2026-07,51,E,M,26.06.26,0,2.255,0,15,39.56209639,1.931,C,0.832496522,0.898003051,,,,,,,
check,TFO,20.04.26,2026-07,57,E,M,26.06.26,0,1.595,0,15,39.56209639,1.931,C,0.881163789,0.924667079,,,,,,,
check,TFO,20.04.26,2026-07,60,E,M,26.06.26,0,1.475,0,800,39.56209639,1.931,C,0.927838055,0.936711325,,,,,,,
check,TFO,20.04.26,2026-07,85,E,M,26.06.26,0,0.68,0,35,39.56209639,1.931,C,1.130296322,1.014764796,,,,,,,
check,TFO,20.04.26,2026-08,45,E,M,27.07.26,0,3.95,0,250,39.46252485,1.931,C,0.723003178,1.092996547,,,,,,,
check,TFO,20.04.26,2026-08,55,E,M,27.07.26,0,2.305,0,250,39.46252485,1.931,C,0.7960963,1.131714683,,,,,,,
check,TFO,20.04.26,2026-08,85,E,M,27.07.26,0,0.93,0,32,39.46252485,1.931,C,1.00417062,1.211521722,,,,,,,
check,TFO,20.04.26,2026-09,25,E,M,26.08.26,0.35,0,300,0,39.55231446,1.931,P,0.551135273,0.849135046,,,,,,,
check,TFO,20.04.26,2026-09,29,E,M,26.08.26,0.715,0,25,0,39.55231446,1.931,P,0.49882305,0.877312892,,,,,,,
check,TFO,20.04.26,2026-09,30,E,M,26.08.26,0.985,0,50,0,39.55231446,1.931,P,0.514137195,0.883626471,,,,,,,
check,TFO,20.04.26,2026-09,70,E,M,26.08.26,0,1.68,0,25,39.55231446,1.931,C,0.846753051,1.029150259,,,,,,,
check,TFO,20.04.26,2026-09,75,E,M,26.08.26,0,1.465,0,50,39.55231446,1.931,C,0.873634797,1.040117874,,,,,,,
check,TFO,20.04.26,2026-09,95,E,M,26.08.26,0,0.74,0,25,39.55231446,1.931,C,0.915149087,1.076859754,,,,,,,
check,TFO,20.04.26,2026-10,50,E,M,25.09.26,0,4.1,0,175,39.57715631,1.931,C,0.705453675,0.876501609,,,,,,,
check,TFO,20.04.26,2026-10,60,E,M,25.09.26,0,2.8,0,50,39.57715631,1.931,C,0.761814291,0.903774998,,,,,,,
check,TFO,20.04.26,2027-01,43,E,M,24.12.26,0,6.9,0,1092,39.17,1.931,C,0.636324397,0.798015769,,,,,,,
check,TFO,20.04.26,2027-01,53,E,M,24.12.26,0,4.85,0,1043,39.17,1.931,C,0.684530854,0.822622911,,,,,,,
check,TFO,21.04.26,2026-05,32,E,M,24.04.26,0.29,0,1250,0,43.16070527,1.932,P,2.358972804,1.166738199,,,,,,,
check,TFO,21.04.26,2026-05,34,E,M,24.04.26,0.065,0,1675,0,43.16070527,1.932,P,1.435486353,1.270046363,,,,,,,
check,TFO,21.04.26,2026-05,35,E,M,24.04.26,0.211304348,7.225,6325,1375,43.16070527,1.932,P,1.649697661,1.316738325,,,,,,,
check,TFO,21.04.26,2026-05,36,E,M,24.04.26,0.2,0,850,0,43.16070527,1.932,P,1.454708677,1.360649841,,,,,,,
check,TFO,21.04.26,2026-05,37,E,M,24.04.26,0.32,0,3200,0,43.16070527,1.932,P,1.462741165,1.402091815,,,,,,,
check,TFO,21.04.26,2026-05,38,E,M,24.04.26,0.498511047,0,5205,0,43.16070527,1.932,P,1.482643965,1.44132491,,,,,,,
check,TFO,21.04.26,2026-05,39,E,M,24.04.26,0.86,0,50,0,43.16070527,1.932,P,1.609951367,1.478569898,,,,,,,
check,TFO,21.04.26,2026-05,40,E,M,24.04.26,1.197699387,2.760406091,3260,985,43.16070527,1.932,P,1.641578641,1.514015493,,,,,,,
check,TFO,21.04.26,2026-05,42,E,M,24.04.26,2.165,2.005,750,250,43.16070527,1.932,P,1.761594839,1.580137698,,,,,,,
check,TFO,21.04.26,2026-05,43,E,M,24.04.26,2.62,1.975,75,220,43.16070527,1.932,C,1.214153155,1.611079029,,,,,,,
check,TFO,21.04.26,2026-05,44,E,M,24.04.26,0,0.6,0,100,43.16070527,1.932,C,0.608934961,1.640756964,,,,,,,
check,TFO,21.04.26,2026-05,45,E,M,24.04.26,0,1.078206522,0,4600,43.16070527,1.932,C,1.162763607,1.66926759,,,,,,,
check,TFO,21.04.26,2026-05,46,E,M,24.04.26,0,0.855,0,600,43.16070527,1.932,C,1.212799981,1.696696347,,,,,,,
