'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility
check,TFO,2026-04-20,2026-05,32.0,E,M,2026-04-24,0.03,0.0,300,0,39.59774234871834,1.931,P,1.007739888011776,1.1355828389407243
check,TFO,2026-04-20,2026-05,33.0,E,M,2026-04-24,0.05,0.0,275,0,39.59774234871834,1.931,P,0.9610532580968435,1.177223117656187
check,TFO,2026-04-20,2026-05,34.0,E,M,2026-04-24,0.12,0.0,375,0,39.59774234871834,1.931,P,0.9933231510798136,1.2163127236133078
check,TFO,2026-04-20,2026-05,35.0,E,M,2026-04-24,0.19147058823529411,0.0,3400,0,39.59774234871834,1.931,P,0.9526645232322496,1.253143536211815
check,TFO,2026-04-20,2026-05,36.0,E,M,2026-04-24,0.23,0.0,250,0,39.59774234871834,1.931,P,0.8354621221597947,1.2879592253177776
check,TFO,2026-04-20,2026-05,37.0,E,M,2026-04-24,0.5973684210526317,0.0,475,0,39.59774234871834,1.931,P,0.9813201457491874,1.3209654247309752
check,TFO,2026-04-20,2026-05,38.0,E,M,2026-04-24,0.7260869565217392,0.0,575,0,39.59774234871834,1.931,P,0.8544423591980174,1.352337354343805
check,TFO,2026-04-20,2026-05,39.0,E,M,2026-04-24,1.3972049689440993,0.0,805,0,39.59774234871834,1.931,P,1.026329879243772,1.382225615940081
check,TFO,2026-04-20,2026-05,40.0,E,M,2026-04-24,1.8156050955414011,1.8967391304347825,3140,575,39.59774234871834,1.931,P,0.9701315199278607,1.4107606620302926
check,TFO,2026-04-20,2026-05,42.0,E,M,2026-04-24,0.0,1.1,0,350,39.59774234871834,1.931,C,1.2233208806971536,1.4642123828058287
check,TFO,2026-04-20,2026-05,43.0,E,M,2026-04-24,0.0,1.0,0,475,39.59774234871834,1.931,C,1.3424063423762211,1.489317150402458
check,TFO,2026-04-20,2026-05,44.0,E,M,2026-04-24,4.5,0.79,300,200,39.59774234871834,1.931,P,0.7057895989961748,1.5134488729268578
check,TFO,2026-04-20,2026-05,45.0,E,M,2026-04-24,0.0,0.7497202797202797,0,3575,39.59774234871834,1.931,C,1.478750333730168,1.5366773690509998
check,TFO,2026-04-20,2026-05,46.0,E,M,2026-04-24,0.0,0.59,0,100,39.59774234871834,1.931,C,1.483726491833905,1.5590651838395488
check,TFO,2026-04-20,2026-05,48.0,E,M,2026-04-24,0.0,0.4625,0,40,39.59774234871834,1.931,C,1.60894496200017,1.6015383389152897
check,TFO,2026-04-20,2026-05,50.0,E,M,2026-04-24,9.7,0.33187995469988674,500,4415,39.59774234871834,1.931,C,1.6741978732910148,1.64125688294067
check,TFO,2026-04-20,2026-05,55.0,E,M,2026-04-24,0.0,0.14,0,100,39.59774234871834,1.931,C,1.7902193664807986,1.7304802668703094
check,TFO,2026-04-20,2026-05,60.0,E,M,2026-04-24,0.0,0.12,0,1600,39.59774234871834,1.931,C,2.097245430085305,1.8081264353967845
