check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,close
1,TFO,2026-04-20,2026-05,32.0,E,M,2026-04-24,0.03,0,79.15
1,TFO,2026-04-20,2026-05,33.0,E,M,2026-04-24,0.05,0,79.15
1,TFO,2026-04-20,2026-05,34.0,E,M,2026-04-24,0.12,0,79.15
2,TFO,2026-04-20,2026-05,35.0,E,M,2026-04-24,0.38,0,79.15
1,TFO,2026-04-20,2026-05,36.0,E,M,2026-04-24,0.23,0,79.15
2,TFO,2026-04-20,2026-05,37.0,E,M,2026-04-24,1.05,0,79.15
2,TFO,2026-04-20,2026-05,38.0,E,M,2026-04-24,1.5,0,79.15
2,TFO,2026-04-20,2026-05,39.0,E,M,2026-04-24,2.7249999999999996,0,79.15
4,TFO,2026-04-20,2026-05,40.0,E,M,2026-04-24,3.5,3.925,79.15
1,TFO,2026-04-20,2026-05,42.0,E,M,2026-04-24,0,1.1,79.15
2,TFO,2026-04-20,2026-05,43.0,E,M,2026-04-24,0,2.0,79.15
2,TFO,2026-04-20,2026-05,44.0,E,M,2026-04-24,4.5,0.79,79.15
2,TFO,2026-04-20,2026-05,45.0,E,M,2026-04-24,0,1.48,79.15
2,TFO,2026-04-20,2026-05,46.0,E,M,2026-04-24,0,1.22,79.15
2,TFO,2026-04-20,2026-05,48.0,E,M,2026-04-24,0,0.9,79.15
3,TFO,2026-04-20,2026-05,50.0,E,M,2026-04-24,9.7,0.675,79.15
1,TFO,2026-04-20,2026-05,55.0,E,M,2026-04-24,0,0.14,79.15
1,TFO,2026-04-20,2026-05,60.0,E,M,2026-04-24,0,0.12,79.15
1,TFO,2026-04-20,2026-05,65.0,E,M,2026-04-24,0,0.075,79.15
1,TFO,2026-04-20,2026-05,70.0,E,M,2026-04-24,0,0.06,79.15
1,TFO,2026-04-20,2026-06,30.0,E,M,2026-05-27,0.375,0,79.275
1,TFO,2026-04-20,2026-06,31.0,E,M,2026-05-27,0.55,0,79.275
1,TFO,2026-04-20,2026-06,32.5,E,M,2026-05-27,0.77,0,79.275
1,TFO,2026-04-20,2026-06,33.0,E,M,2026-05-27,,0,79.275
1,TFO,2026-04-20,2026-06,34.0,E,M,2026-05-27,1.15,0,79.275
1,TFO,2026-04-20,2026-06,34.5,E,M,2026-05-27,1.345,0,79.275
2,TFO,2026-04-20,2026-06,35.0,E,M,2026-05-27,3.135,0,79.275
1,TFO,2026-04-20,2026-06,37.0,E,M,2026-05-27,2.88,0,79.275
2,TFO,2026-04-20,2026-06,38.0,E,M,2026-05-27,2.725,0,79.275
1,TFO,2026-04-20,2026-06,39.0,E,M,2026-05-27,3.35,0,79.275
2,TFO,2026-04-20,2026-06,40.0,E,M,2026-05-27,3.93,4.02,79.275
1,TFO,2026-04-20,2026-06,43.0,E,M,2026-05-27,0,2.67,79.275
1,TFO,2026-04-20,2026-06,45.0,E,M,2026-05-27,0,2.7,79.275
2,TFO,2026-04-20,2026-06,50.0,E,M,2026-05-27,0,3.73,79.275
1,TFO,2026-04-20,2026-06,55.0,E,M,2026-05-27,0,1.22,79.275
2,TFO,2026-04-20,2026-06,60.0,E,M,2026-05-27,0,1.9649999999999999,79.275
1,TFO,2026-04-20,2026-06,70.0,E,M,2026-05-27,0,0.55,79.275
1,TFO,2026-04-20,2026-06,80.0,E,M,2026-05-27,0,0.375,79.275
1,TFO,2026-04-20,2026-06,90.0,E,M,2026-05-27,0,0.24,79.275
1,TFO,2026-04-20,2026-06,120.0,E,M,2026-05-27,0,0.12,79.275
1,TFO,2026-04-20,2026-07,28.0,E,M,2026-06-26,,0,79.24000000000001
1,TFO,2026-04-20,2026-07,30.0,E,M,2026-06-26,0.72,0,79.24000000000001
1,TFO,2026-04-20,2026-07,32.0,E,M,2026-06-26,,0,79.24000000000001
1,TFO,2026-04-20,2026-07,35.0,E,M,2026-06-26,2.1,0,79.24000000000001
2,TFO,2026-04-20,2026-07,40.0,E,M,2026-06-26,4.9,0,79.24000000000001
1,TFO,2026-04-20,2026-07,44.0,E,M,2026-06-26,7.45,0,79.24000000000001
1,TFO,2026-04-20,2026-07,45.0,E,M,2026-06-26,0,3.7,79.24000000000001
1,TFO,2026-04-20,2026-07,50.0,E,M,2026-06-26,0,2.6,79.24000000000001
1,TFO,2026-04-20,2026-07,51.0,E,M,2026-06-26,0,2.255,79.24000000000001
1,TFO,2026-04-20,2026-07,57.0,E,M,2026-06-26,0,1.595,79.24000000000001
1,TFO,2026-04-20,2026-07,60.0,E,M,2026-06-26,0,1.475,79.24000000000001
1,TFO,2026-04-20,2026-07,70.0,E,M,2026-06-26,0,,79.24000000000001
1,TFO,2026-04-20,2026-07,75.0,E,M,2026-06-26,0,,79.24000000000001
1,TFO,2026-04-20,2026-07,85.0,E,M,2026-06-26,0,0.68,79.24000000000001
1,TFO,2026-04-20,2026-08,30.0,E,M,2026-07-27,,0,79.195
1,TFO,2026-04-20,2026-08,32.0,E,M,2026-07-27,,0,79.195
1,TFO,2026-04-20,2026-08,35.0,E,M,2026-07-27,,0,79.195
2,TFO,2026-04-20,2026-08,40.0,E,M,2026-07-27,0,0,79.195
1,TFO,2026-04-20,2026-08,45.0,E,M,2026-07-27,0,3.95,79.195
1,TFO,2026-04-20,2026-08,55.0,E,M,2026-07-27,0,2.305,79.195
1,TFO,2026-04-20,2026-08,60.0,E,M,2026-07-27,0,,79.195
1,TFO,2026-04-20,2026-08,70.0,E,M,2026-07-27,0,,79.195
1,TFO,2026-04-20,2026-08,75.0,E,M,2026-07-27,0,,79.195
1,TFO,2026-04-20,2026-08,85.0,E,M,2026-07-27,0,0.93,79.195
1,TFO,2026-04-20,2026-09,25.0,E,M,2026-08-26,0.35,0,79.65
1,TFO,2026-04-20,2026-09,28.0,E,M,2026-08-26,,0,79.65
1,TFO,2026-04-20,2026-09,29.0,E,M,2026-08-26,0.715,0,79.65
2,TFO,2026-04-20,2026-09,30.0,E,M,2026-08-26,0.985,0,79.65
1,TFO,2026-04-20,2026-09,35.0,E,M,2026-08-26,,0,79.65
1,TFO,2026-04-20,2026-09,40.0,E,M,2026-08-26,,0,79.65
1,TFO,2026-04-20,2026-09,60.0,E,M,2026-08-26,0,,79.65
2,TFO,2026-04-20,2026-09,70.0,E,M,2026-08-26,0,1.68,79.65
2,TFO,2026-04-20,2026-09,75.0,E,M,2026-08-26,0,1.465,79.65
1,TFO,2026-04-20,2026-09,95.0,E,M,2026-08-26,0,0.74,79.65
1,TFO,2026-04-20,2026-10,33.0,E,M,2026-09-25,,0,79.5
1,TFO,2026-04-20,2026-10,38.0,E,M,2026-09-25,,0,79.5
1,TFO,2026-04-20,2026-10,46.0,E,M,2026-09-25,0,,79.5
1,TFO,2026-04-20,2026-10,47.0,E,M,2026-09-25,0,,79.5
1,TFO,2026-04-20,2026-10,50.0,E,M,2026-09-25,0,4.1,79.5
1,TFO,2026-04-20,2026-10,60.0,E,M,2026-09-25,0,2.8,79.5
1,TFO,2026-04-20,2026-10,75.0,E,M,2026-09-25,0,,79.5
1,TFO,2026-04-20,2026-11,50.0,E,M,2026-10-27,0,,78.7
1,TFO,2026-04-20,2026-11,75.0,E,M,2026-10-27,0,,78.7
1,TFO,2026-04-20,2026-12,33.0,E,M,2026-11-26,,0,78.935
1,TFO,2026-04-20,2026-12,50.0,E,M,2026-11-26,0,,78.935
1,TFO,2026-04-20,2026-12,60.0,E,M,2026-11-26,0,,78.935
1,TFO,2026-04-20,2026-12,75.0,E,M,2026-11-26,0,,78.935
1,TFO,2026-04-20,2027-01,43.0,E,M,2026-12-24,0,6.9,78.34
1,TFO,2026-04-20,2027-01,50.0,E,M,2026-12-24,0,,78.34
1,TFO,2026-04-20,2027-01,53.0,E,M,2026-12-24,0,4.85,78.34
1,TFO,2026-04-20,2027-01,60.0,E,M,2026-12-24,0,,78.34
1,TFO,2026-04-20,2027-01,70.0,E,M,2026-12-24,0,,78.34
1,TFO,2026-04-20,2027-01,75.0,E,M,2026-12-24,0,,78.34
1,TFO,2026-04-20,2027-02,50.0,E,M,2027-01-27,0,,38.835
1,TFO,2026-04-20,2027-02,75.0,E,M,2027-01-27,0,,38.835
1,TFO,2026-04-20,2027-03,30.0,E,M,2027-02-24,,0,38.15
1,TFO,2026-04-20,2027-03,50.0,E,M,2027-02-24,0,,38.15
1,TFO,2026-04-20,2027-03,60.0,E,M,2027-02-24,0,,38.15
1,TFO,2026-04-20,2027-03,75.0,E,M,2027-02-24,0,,38.15
2,TFO,2026-04-21,2026-05,32.0,E,M,2026-04-24,0.5,0,86.47
1,TFO,2026-04-21,2026-05,34.0,E,M,2026-04-24,0.065,0,86.47
3,TFO,2026-04-21,2026-05,35.0,E,M,2026-04-24,0.37,7.225,86.47
1,TFO,2026-04-21,2026-05,36.0,E,M,2026-04-24,0.2,0,86.47
1,TFO,2026-04-21,2026-05,37.0,E,M,2026-04-24,0.32,0,86.47
2,TFO,2026-04-21,2026-05,38.0,E,M,2026-04-24,0.95,0,86.47
1,TFO,2026-04-21,2026-05,39.0,E,M,2026-04-24,0.86,0,86.47
4,TFO,2026-04-21,2026-05,40.0,E,M,2026-04-24,2.1,4.425,86.47
1,TFO,2026-04-21,2026-05,41.0,E,M,2026-04-24,0,,86.47
2,TFO,2026-04-21,2026-05,42.0,E,M,2026-04-24,2.165,2.005,86.47
2,TFO,2026-04-21,2026-05,43.0,E,M,2026-04-24,2.62,1.975,86.47
1,TFO,2026-04-21,2026-05,44.0,E,M,2026-04-24,0,0.6,86.47
2,TFO,2026-04-21,2026-05,45.0,E,M,2026-04-24,0,2.2649999999999997,86.47
1,TFO,2026-04-21,2026-05,46.0,E,M,2026-04-24,0,0.855,86.47
1,TFO,2026-04-21,2026-05,47.0,E,M,2026-04-24,0,0.325,86.47
2,TFO,2026-04-21,2026-05,48.0,E,M,2026-04-24,0,1.225,86.47
1,TFO,2026-04-21,2026-05,49.0,E,M,2026-04-24,0,0.885,86.47
2,TFO,2026-04-21,2026-05,50.0,E,M,2026-04-24,0,1.1800000000000002,86.47
1,TFO,2026-04-21,2026-05,51.0,E,M,2026-04-24,0,,86.47
1,TFO,2026-04-21,2026-05,52.0,E,M,2026-04-24,0,0.25,86.47
1,TFO,2026-04-21,2026-05,55.0,E,M,2026-04-24,0,0.23,86.47
2,TFO,2026-04-21,2026-05,60.0,E,M,2026-04-24,0,0.27,86.47
1,TFO,2026-04-21,2026-05,80.0,E,M,2026-04-24,0,0.01,86.47
2,TFO,2026-04-21,2026-06,30.0,E,M,2026-05-27,0.7,0,86.64
1,TFO,2026-04-21,2026-06,32.0,E,M,2026-05-27,0.6,0,86.64
1,TFO,2026-04-21,2026-06,33.0,E,M,2026-05-27,1.02,0,86.64
1,TFO,2026-04-21,2026-06,34.0,E,M,2026-05-27,,0,86.64
2,TFO,2026-04-21,2026-06,35.0,E,M,2026-05-27,2.6,0,86.64
1,TFO,2026-04-21,2026-06,37.0,E,M,2026-05-27,1.92,0,86.64
1,TFO,2026-04-21,2026-06,38.0,E,M,2026-05-27,2.35,0,86.64
1,TFO,2026-04-21,2026-06,39.0,E,M,2026-05-27,2.905,0,86.64
2,TFO,2026-04-21,2026-06,40.0,E,M,2026-05-27,3.4,5.175,86.64
1,TFO,2026-04-21,2026-06,42.0,E,M,2026-05-27,4.7,0,86.64
1,TFO,2026-04-21,2026-06,43.0,E,M,2026-05-27,0,4.125,86.64
1,TFO,2026-04-21,2026-06,45.0,E,M,2026-05-27,0,3.7,86.64
1,TFO,2026-04-21,2026-06,48.0,E,M,2026-05-27,0,1.88,86.64
2,TFO,2026-04-21,2026-06,50.0,E,M,2026-05-27,10.52,2.44,86.64
1,TFO,2026-04-21,2026-06,55.0,E,M,2026-05-27,0,2.025,86.64
2,TFO,2026-04-21,2026-06,60.0,E,M,2026-05-27,0,2.0,86.64
1,TFO,2026-04-21,2026-06,65.0,E,M,2026-05-27,0,1.1,86.64
1,TFO,2026-04-21,2026-06,70.0,E,M,2026-05-27,0,0.995,86.64
1,TFO,2026-04-21,2026-07,25.0,E,M,2026-06-26,,0,86.655
