check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate
1,TFO,2026-04-20,2026-05,32.0,E,M,2026-04-24,0.03,0,300,0,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,33.0,E,M,2026-04-24,0.05,0,275,0,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,34.0,E,M,2026-04-24,0.12,0,375,0,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,35.0,E,M,2026-04-24,0.19147058823529411,0,3400,0,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,36.0,E,M,2026-04-24,0.23,0,250,0,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,37.0,E,M,2026-04-24,0.5973684210526317,0,475,0,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,38.0,E,M,2026-04-24,0.7260869565217392,0,575,0,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,39.0,E,M,2026-04-24,1.3972049689440993,0,805,0,39.59774234871834,1.931
4,TFO,2026-04-20,2026-05,40.0,E,M,2026-04-24,1.8156050955414011,1.8967391304347825,3140,575,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,42.0,E,M,2026-04-24,0,1.1,0,350,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,43.0,E,M,2026-04-24,0,1.0,0,475,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,44.0,E,M,2026-04-24,4.5,0.79,300,200,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,45.0,E,M,2026-04-24,0,0.7497202797202797,0,3575,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,46.0,E,M,2026-04-24,0,0.59,0,100,39.59774234871834,1.931
2,TFO,2026-04-20,2026-05,48.0,E,M,2026-04-24,0,0.4625,0,40,39.59774234871834,1.931
3,TFO,2026-04-20,2026-05,50.0,E,M,2026-04-24,9.7,0.33187995469988674,500,4415,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,55.0,E,M,2026-04-24,0,0.14,0,100,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,60.0,E,M,2026-04-24,0,0.12,0,1600,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,65.0,E,M,2026-04-24,0,0.075,0,500,39.59774234871834,1.931
1,TFO,2026-04-20,2026-05,70.0,E,M,2026-04-24,0,0.06,0,750,39.59774234871834,1.931
1,TFO,2026-04-20,2026-06,30.0,E,M,2026-05-27,0.375,0,300,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,31.0,E,M,2026-05-27,0.55,0,20,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,32.5,E,M,2026-05-27,0.77,0,10,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,34.0,E,M,2026-05-27,1.15,0,200,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,34.5,E,M,2026-05-27,1.345,0,5,0,39.58657400006395,1.931
2,TFO,2026-04-20,2026-06,35.0,E,M,2026-05-27,1.5995220588235293,0,1360,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,37.0,E,M,2026-05-27,2.88,0,1000,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,38.0,E,M,2026-05-27,2.725,0,30,0,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,39.0,E,M,2026-05-27,3.35,0,100,0,39.58657400006395,1.931
2,TFO,2026-04-20,2026-06,40.0,E,M,2026-05-27,3.93,4.02,825,2750,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,43.0,E,M,2026-05-27,0,2.67,0,1000,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,45.0,E,M,2026-05-27,0,2.7,0,2375,39.58657400006395,1.931
2,TFO,2026-04-20,2026-06,50.0,E,M,2026-05-27,0,1.8796052631578948,0,1900,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,55.0,E,M,2026-05-27,0,1.22,0,1000,39.58657400006395,1.931
2,TFO,2026-04-20,2026-06,60.0,E,M,2026-05-27,0,0.9520967741935483,0,620,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,70.0,E,M,2026-05-27,0,0.55,0,800,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,80.0,E,M,2026-05-27,0,0.375,0,300,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,90.0,E,M,2026-05-27,0,0.24,0,500,39.58657400006395,1.931
1,TFO,2026-04-20,2026-06,120.0,E,M,2026-05-27,0,0.12,0,1000,39.58657400006395,1.931
1,TFO,2026-04-20,2026-07,30.0,E,M,2026-06-26,0.72,0,275,0,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,35.0,E,M,2026-06-26,2.1,0,625,0,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,40.0,E,M,2026-06-26,4.9,0,540,0,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,44.0,E,M,2026-06-26,7.45,0,25,0,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,45.0,E,M,2026-06-26,0,3.7,0,50,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,50.0,E,M,2026-06-26,0,2.6,0,125,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,51.0,E,M,2026-06-26,0,2.255,0,15,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,57.0,E,M,2026-06-26,0,1.595,0,15,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,60.0,E,M,2026-06-26,0,1.475,0,800,39.562096389551336,1.931
1,TFO,2026-04-20,2026-07,85.0,E,M,2026-06-26,0,0.68,0,35,39.562096389551336,1.931
1,TFO,2026-04-20,2026-08,45.0,E,M,2026-07-27,0,3.95,0,250,39.46252485158084,1.931
1,TFO,2026-04-20,2026-08,55.0,E,M,2026-07-27,0,2.305,0,250,39.46252485158084,1.931
1,TFO,2026-04-20,2026-08,85.0,E,M,2026-07-27,0,0.93,0,32,39.46252485158084,1.931
1,TFO,2026-04-20,2026-09,25.0,E,M,2026-08-26,0.35,0,300,0,39.55231446059678,1.931
1,TFO,2026-04-20,2026-09,29.0,E,M,2026-08-26,0.715,0,25,0,39.55231446059678,1.931
1,TFO,2026-04-20,2026-09,30.0,E,M,2026-08-26,0.985,0,50,0,39.55231446059678,1.931
1,TFO,2026-04-20,2026-09,70.0,E,M,2026-08-26,0,1.68,0,25,39.55231446059678,1.931
1,TFO,2026-04-20,2026-09,75.0,E,M,2026-08-26,0,1.465,0,50,39.55231446059678,1.931
1,TFO,2026-04-20,2026-09,95.0,E,M,2026-08-26,0,0.74,0,25,39.55231446059678,1.931
1,TFO,2026-04-20,2026-10,50.0,E,M,2026-09-25,0,4.1,0,175,39.57715631050871,1.931
1,TFO,2026-04-20,2026-10,60.0,E,M,2026-09-25,0,2.8,0,50,39.57715631050871,1.931
1,TFO,2026-04-20,2027-01,43.0,E,M,2026-12-24,0,6.9,0,1092,39.17,1.931
1,TFO,2026-04-20,2027-01,53.0,E,M,2026-12-24,0,4.85,0,1043,39.17,1.931
2,TFO,2026-04-21,2026-05,32.0,E,M,2026-04-24,0.29000000000000004,0,1250,0,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,34.0,E,M,2026-04-24,0.065,0,1675,0,43.16070526723876,1.932
3,TFO,2026-04-21,2026-05,35.0,E,M,2026-04-24,0.21130434782608695,7.225,6325,1375,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,36.0,E,M,2026-04-24,0.2,0,850,0,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,37.0,E,M,2026-04-24,0.32,0,3200,0,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,38.0,E,M,2026-04-24,0.4985110470701249,0,5205,0,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,39.0,E,M,2026-04-24,0.86,0,50,0,43.16070526723876,1.932
4,TFO,2026-04-21,2026-05,40.0,E,M,2026-04-24,1.1976993865030674,2.7604060913705584,3260,985,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,42.0,E,M,2026-04-24,2.165,2.005,750,250,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,43.0,E,M,2026-04-24,2.62,1.975,75,220,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,44.0,E,M,2026-04-24,0,0.6,0,100,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,45.0,E,M,2026-04-24,0,1.0782065217391306,0,4600,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,46.0,E,M,2026-04-24,0,0.855,0,600,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,47.0,E,M,2026-04-24,0,0.325,0,200,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,48.0,E,M,2026-04-24,0,0.6029411764705882,0,1020,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,49.0,E,M,2026-04-24,0,0.885,0,35,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,50.0,E,M,2026-04-24,0,0.6514503816793893,0,6550,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,52.0,E,M,2026-04-24,0,0.25,0,200,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,55.0,E,M,2026-04-24,0,0.23,0,1200,43.16070526723876,1.932
2,TFO,2026-04-21,2026-05,60.0,E,M,2026-04-24,0,0.13782608695652174,0,1150,43.16070526723876,1.932
1,TFO,2026-04-21,2026-05,80.0,E,M,2026-04-24,0,0.01,0,100,43.16070526723876,1.932
2,TFO,2026-04-21,2026-06,30.0,E,M,2026-05-27,0.3295454545454546,0,550,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,32.0,E,M,2026-05-27,0.6,0,1250,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,33.0,E,M,2026-05-27,1.02,0,250,0,43.158974502661806,1.932
2,TFO,2026-04-21,2026-06,35.0,E,M,2026-05-27,1.3092468619246862,0,1195,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,37.0,E,M,2026-05-27,1.92,0,1250,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,38.0,E,M,2026-05-27,2.35,0,300,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,39.0,E,M,2026-05-27,2.905,0,150,0,43.158974502661806,1.932
2,TFO,2026-04-21,2026-06,40.0,E,M,2026-05-27,3.4,5.175,3400,300,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,42.0,E,M,2026-05-27,4.7,0,200,0,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,43.0,E,M,2026-05-27,0,4.125,0,125,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,45.0,E,M,2026-05-27,0,3.7,0,2650,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,48.0,E,M,2026-05-27,0,1.88,0,100,43.158974502661806,1.932
2,TFO,2026-04-21,2026-06,50.0,E,M,2026-05-27,10.52,2.44,1100,2600,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,55.0,E,M,2026-05-27,0,2.025,0,550,43.158974502661806,1.932
2,TFO,2026-04-21,2026-06,60.0,E,M,2026-05-27,0,0.94,0,500,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,65.0,E,M,2026-05-27,0,1.1,0,700,43.158974502661806,1.932
1,TFO,2026-04-21,2026-06,70.0,E,M,2026-05-27,0,0.995,0,50,43.158974502661806,1.932
1,TFO,2026-04-21,2026-07,30.0,E,M,2026-06-26,0.56,0,50,0,43.11138977748094,1.932
1,TFO,2026-04-21,2026-07,33.0,E,M,2026-06-26,1.34,0,5,0,43.11138977748094,1.932
1,TFO,2026-04-21,2026-07,45.0,E,M,2026-06-26,0,3.425,0,450,43.11138977748094,1.932
1,TFO,2026-04-21,2026-07,55.0,E,M,2026-06-26,0,1.85,0,125,43.11138977748094,1.932
1,TFO,2026-04-21,2026-07,70.0,E,M,2026-06-26,0,1.18,0,160,43.11138977748094,1.932
1,TFO,2026-04-21,2026-08,45.0,E,M,2026-07-27,0,4.35,0,450,43.034416685205784,1.932
1,TFO,2026-04-21,2026-08,55.0,E,M,2026-07-27,0,2.6,0,325,43.034416685205784,1.932
1,TFO,2026-04-21,2026-10,30.0,E,M,2026-09-25,0.97,0,1075,0,42.8740484608985,1.932
1,TFO,2026-04-21,2026-10,37.0,E,M,2026-09-25,3.92,0,1250,0,42.8740484608985,1.932
1,TFO,2026-04-21,2026-10,50.0,E,M,2026-09-25,0,4.75,0,50,42.8740484608985,1.932
1,TFO,2026-04-21,2026-10,60.0,E,M,2026-09-25,0,3.275,0,375,42.8740484608985,1.932
1,TFO,2026-04-21,2026-12,70.0,E,M,2026-11-26,0,3.85,0,225,42.44390345349131,1.932
1,TFO,2026-04-22,2026-05,35.0,E,M,2026-04-24,0.05,0,1000,0,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,36.0,E,M,2026-04-24,0.03,0,1225,0,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,37.0,E,M,2026-04-24,0.27,0,90,0,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,38.0,E,M,2026-04-24,0.1575,4.865,1900,50,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,40.0,E,M,2026-04-24,0.20189583333333333,3.87,7200,6395,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,41.0,E,M,2026-04-24,0.4191693290734824,2.2,1565,25,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,42.0,E,M,2026-04-24,1.2,2.45,1010,200,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,43.0,E,M,2026-04-24,0.9075949367088607,1.335,1975,400,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,44.0,E,M,2026-04-24,2.5,1.4700000000000002,1000,300,44.14145454351808,1.931
3,TFO,2026-04-22,2026-05,45.0,E,M,2026-04-24,3.0,1.2931297709923664,750,3275,44.14145454351808,1.931
2,TFO,2026-04-22,2026-05,46.0,E,M,2026-04-24,0,0.7572857142857142,0,875,44.14145454351808,1.931
2,TFO,2026-04-22,2026-05,48.0,E,M,2026-04-24,0,0.4610344827586207,0,1450,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,49.0,E,M,2026-04-24,0,0.51,0,45,44.14145454351808,1.931
2,TFO,2026-04-22,2026-05,50.0,E,M,2026-04-24,0,0.32170212765957445,0,2585,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,55.0,E,M,2026-04-24,0,0.155,0,1400,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,60.0,E,M,2026-04-24,0,0.1,0,25,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,70.0,E,M,2026-04-24,0,0.06,0,50,44.14145454351808,1.931
1,TFO,2026-04-22,2026-05,75.0,E,M,2026-04-24,0,0.025,0,450,44.14145454351808,1.931
2,TFO,2026-04-22,2026-06,30.0,E,M,2026-05-27,0.253125,0,1200,0,44.104494007989345,1.931
1,TFO,2026-04-22,2026-06,32.0,E,M,2026-05-27,0.475,0,700,0,44.104494007989345,1.931
1,TFO,2026-04-22,2026-06,33.0,E,M,2026-05-27,0.5,0,500,0,44.104494007989345,1.931
2,TFO,2026-04-22,2026-06,35.0,E,M,2026-05-27,1.018970588235294,0,2720,0,44.104494007989345,1.931
1,TFO,2026-04-22,2026-06,40.0,E,M,2026-05-27,3.0300000000000002,0,1360,0,44.104494007989345,1.931
1,TFO,2026-04-22,2026-06,45.0,E,M,2026-05-27,0,4.5,0,2050,44.104494007989345,1.931
2,TFO,2026-04-22,2026-06,50.0,E,M,2026-05-27,0,3.0234496124031005,0,2580,44.104494007989345,1.931
1,TFO,2026-04-22,2026-06,55.0,E,M,2026-05-27,0,1.875,0,1050,44.104494007989345,1.931
2,TFO,2026-04-22,2026-06,60.0,E,M,2026-05-27,0,1.403048780487805,0,820,44.104494007989345,1.931
